異動日期,異動類型,異動內容,異動範圍,測試假設/用意,預期效果,後續成效分析,狀態,對應commit,預期效果是否達成
2026-09-01,文章優化(檢視後決定不動),9/1文章優化審查批次的一部分(同批次已對setting-method-comparison做標題+meta description優化)——這篇檢視後決定 facial-cleanser-tightness-guide 維持原標題不動,該文章頁(skincare-blog),"排名8.24、CTR約1.2%,標題本身經人工檢視沒有發現明顯問題,不屬於「標題公式化」這個假設的命中案例","維持現狀,不做無依據的變更",待觀察,無變動(決策不改),(無),
2026-09-01,文章優化(檢視後決定不動),9/1文章優化審查批次的一部分(同批次已對setting-method-comparison做標題+meta description優化)——這篇檢視後決定 gold-highlighter-trend-2026 維持原標題不動,該文章頁(skincare-blog),"排名3.88看似不錯,但當期只有8次曝光,樣本量太小不具統計意義,若因為單一週期的雜訊數字就調整標題屬於過度反應","維持現狀,待樣本量足夠(建議等第6-8週快贏分析門檻)後再評估",待觀察,無變動(決策不改),(無),
2026-09-02,內容結構優化(SEO),"eye-cream-usage-guide 文章內三個技巧段落(用量/按摩手法/使用時機)從一般段落改成 H3 子標題,巢狀在原本的 H2「先檢查這幾個地方」底下,並在每個 H3 標題裡帶入「眼霜」關鍵字",,"原本內文結構缺乏語意階層,搜尋引擎較難判斷段落主題與關鍵字關聯性","強化該文在「眼霜」相關長尾查詢的主題相關性,可能提升該篇對應查詢的排名或曝光",待觀察——需等該篇GSC查詢字曝光/排名數據更新後回頭比對,已上線,84da738,
2026-09-02,UX/導覽優化,"新增「活動快訊」導覽選單項目(重用既有skincare-blog.html文章列表與篩選機制過濾活動類標籤,非新頁面模板);修正 hero 輪播的分類標籤",,"原本不論文章實際分類一律寫死顯示「保養專欄」,先前活動類文章沒有專屬導覽入口,使用者較難主動找到;hero 輪播標籤錯誤可能造成使用者對文章分類的誤解",提升活動類文章的站內可發現性與導覽動線正確性,待觀察——可用GA4觀察該導覽項目的點擊率與活動類文章的到達流量變化,已上線,bec9f3a,
2026-09-02,內容完整性修正,從 site-data.json 的 tagCategories 移除「母親節」「Olive Young促銷」兩個尚無發布文章的子分類標籤,site-data.json(活動快訊導覽下拉選單),"新增活動快訊導覽後發現這兩個子分類篩選後是空結果,對使用者是死路體驗","移除空篩選項,避免使用者點進去發現「查無文章」的落地體驗",待該分類有實際文章發布後再重新加回,已上線,471ce31,
2026-09-08,技術優化(RWD),新增行動版導覽選單(漢堡選單+右側滑出抽屜),全站10個頁面,"手機版原本完全沒有選單(桌機導覽在lg斷點以下直接隱藏,沒有替代方案),行動版訪客無法瀏覽分類","提升行動版可用性,降低因找不到分類導覽而跳出的比例",待觀察,已上線,8791cc3,
2026-09-08,技術優化(RWD),"Cruel Battle對戰頁的好感度/指標強弱項面板改成手機版並排顯示(CSS grid),原本是直向堆疊",Cruel Battle對戰頁,面板直向堆疊導致手機瀏覽頁面過長,"縮短手機版頁面長度,改善瀏覽體驗",待觀察,已上線,c76ddf4,
2026-09-08,技術優化(RWD/UX),放大對戰雷達圖標籤字級與圖片解析度;首頁「最新文章」改成可滑動輪播(最多顯示8篇),首頁對戰卡片、首頁最新文章區,"雷達圖指標名稱在手機上太小看不清楚;原本最新文章區是固定3張卡片,顯示不到近期文章全貌",提升雷達圖可讀性;讓使用者能瀏覽更多篇最新文章,待觀察,已上線,239da44,
2026-09-08,內容/UX優化,首頁最新文章桌機版一次顯示5張卡片(原本3張),首頁最新文章區,3張卡片桌機版顯示密度偏低,增加桌機版單次可見文章數量,待觀察,已上線,215fe0a,
2026-09-08,UX優化,最新文章輪播下方新增「查看全部」連結,skincare-blog.html,"輪播只能看到部分文章,需要更明顯的入口導向完整文章列表",提升到文章列表頁的站內導流,待觀察,已上線,59fe018,
2026-09-09,技術優化(RWD),"修正文章列表手機版排版(圖文改直式排列,圖片改流動式3:2比例);評比比較表手機版改成可展開手風琴，桌機維持原本可排序表格",skincare-blog.html文章列表、detail.html精選評比表格,"文章列表原本圖片寫死240x160px、標題被擠壓成約100px寬導致換行9行以上;比較表在手機上完全沒有RWD處理,只能整個表格橫向捲動","改善行動版閱讀體驗,對應9/9查到「行動裝置佔77.6%點擊」這個發現,屬於直接呼應該結論的優化動作",待觀察,已上線,6526910,
2026-09-09,技術優化(RWD),「近期熱門聲量單品」區塊手機版改成2欄網格(原本1欄整寬卡片),首頁Spotlight Trending區,"手機版單欄超大卡片顯示密度太低,跟新品快報區風格不一致",提升手機版顯示密度與視覺一致性,待觀察,已上線,7e07f9c,
2026-09-09,內容/UX優化,"移除獨立的「近期熱門聲量單品」區塊,改成直接在「所有商品項目」對應卡片上標記熱門徽章(紅色緞帶+邊框),並把熱門商品排到網格最前面",首頁All Products區,"原本熱門單品區塊跟下方所有商品項目重複顯示同樣的top3商品,且原本小型徽章容易被忽略","去除重複內容,讓熱門標記更醒目",待觀察,已上線,ecaf4c2,
2026-09-09,UX優化,首頁測驗小工具區塊位置從原位置移到Cruel Battle下方,首頁,版面順序調整,改善首頁瀏覽動線,待觀察,已上線,2d51306,
2026-09-09,內容功能新增,美妝看板「所有商品項目」網格新增3個排序按鈕(近期熱門優先/評分高低/討論篇數),美妝看板頁,"使用者可能想依不同維度瀏覽商品,原本只有固定排序",提升商品瀏覽彈性,待觀察,已上線,0421b0a,
2026-09-10,資料修正,修正M.A.C新品快報卡片名稱與圖片不匹配(名稱已在9/7查證改成超持妝奢緞氣墊精華，但改動一直沒commit，另一張佔位氣墊圖片卻已經上線)，同時bump快取版本號v3->v4,首頁新品快報,"顯示的商品名稱跟圖片對不上,是先前查證的資料修正沒有真的commit上去","修正錯誤資訊,避免使用者混淆",已修正,已上線,b0767f8,
2026-09-10,內容+RWD優化,"新品快報新增NARS/肌膚之鑰品牌,更新Bobbi Brown/YSL/蘭蔻/雅詩蘭黛為目前官網主打新品(重新查證);網格擴充到12品牌，手機版改成先顯示6個+「查看全部」展開按鈕",首頁新品快報,品牌清單過時;新增品牌後手機版直接全部顯示會過長,保持新品資訊即時性;改善行動版瀏覽長度,待觀察,已上線,8e1413e,
2026-09-10,UX重新設計,「熱門榜單」從單一全站Top5清單改成24個商品分類各自的Top5分頁籤(依品項數排序)，桌機加捲動箭頭+邊緣淡出，手機加滑動提示,首頁熱門榜單區,原本單一全站排行榜看不到各分類自己的熱門品項,讓使用者能依分類找到該類別真正的熱門商品,待觀察,已上線,b8a9a3a,
2026-09-10,UX微調,「熱門榜單」分頁籤文字統一顯示TOP5(不再依實際品項數縮寫成TOP3/TOP4),首頁熱門榜單區,各分類實際品項數不同導致籤文字不一致(TOP3/TOP4/TOP5混雜),視覺一致性,已完成,已上線,decafd1,
2026-09-10,技術優化(SEO),重新產生sitemap.xml，補齊9篇先前上線但未寫入sitemap的文章與新商品頁面(373→391個網址),全站sitemap.xml,sitemap自從這幾篇文章(含本週的foundation-seasonal-caking-guide)上線後就沒有重新產生過,讓Google能發現並收錄這些遺漏的頁面,待觀察,已上線,932c302,
2026-09-10,技術優化(SEO),修正canonical網域方向錯誤(裸網域其實308轉址到www，但程式註解寫反了)，補齊6個靜態頁面缺少的canonical標籤與8個頁面缺少的og:image，detail.html的og:image改成動態對應子分類熱門商品圖,全站(robots.txt、generate_sitemap.py、6個靜態頁+detail.html),canonical網域設定方向錯誤可能導致Google選錯標準網址；缺少og:image會影響社群分享預覽圖,"修正重複內容判定風險,改善社群分享呈現",待觀察,已上線,6415b98,
2026-09-14,內容更新(時效性維護),"週年慶檔期文章(department-store-anniversary-sale-guide)補上17家百貨已公布的2026正式檔期(原本全標「即將公布」),更新資料日期9/02→9/14,改寫前言(原本寫「正式檔期還沒公布」已不成立,改為點出台北101與微風已開打),並修正文末誤用的第一人稱「我們」為「我」",單篇文章(articles.json),"9/2發文時多數百貨正式檔期未公布,文中有19處「即將公布」;9月中檔期陸續公布後,母文若不更新會與事實不符,且續篇上線時會顯得資訊過期。另第一人稱誤用違反站上寫作規則","檔期資訊正確可用,提升這篇在週年慶搜尋高峰期的可用性與停留時間;為後續的美妝必買續篇建立可信的母文",待觀察,已上線,9f09f49,
2026-09-14,資料擴充(評分管線),完成「打亮/修容」子分類評分:8個品項218則小紅書評論標記後算分上線(蘭蔻聚光棒因30則中23則實為其他品牌、資料不足未計分);新增NARS立體透亮水光棒進商品目錄與前台(含官網商品圖nars-06.jpg);同步修正site-data.json兩處與Items.csv不一致(NARS打亮欄位仍掛舊的裸光蜜粉餅、MUFE頰彩名稱不符導致前台顯示「尚無評分資料」),csv/AI_Scores.csv、scores-data.json、site-data.json、csv/Items.csv、sitemap.xml(391→393),"打亮/修容先前只有趨勢文沒有評分資料,無法寫推薦文;NARS水光棒為新收商品。MUFE名稱以site-data為準(該名稱已被sitemap收錄,改前台會讓既有網址失效)","打亮/修容子分類具備真實評分,解鎖「打亮推薦文」這個題材;商品頁與看板頁可正常顯示",待觀察,已上線,256ac27,
2026-09-14,管線修正(評分/心得資料流),"修掉「Threads/Google評論進不了前台心得卡片」的缺口:score_reviews.py --compute改成把每則評論的LLM標記(product_match/is_ad/credibility)以評論url為鍵累積寫進llm_io/review_annotations.json(跨輪合併不覆蓋舊品項);build_scores_data.py改用search_keyword回推item_id(複製scrape_threads.py的_build_keywords,99.2%可唯一對回Items.csv),但只收標記檔裡product_match=match且非業配的評論,沒有標記一律不收;另加Google摘要清理(megapx佔位符、截斷尾巴)。首輪人工核對18則候選後採用5則。並改寫CLAUDE.md該段(原本寫的修法未考慮標記從未被持久化,照字面放寬會把廣告印成網友心得)",score_reviews.py、build_scores_data.py、scores-data.json、llm_io/review_annotations.json、CLAUDE.md、script.js與10個HTML(版本號),"前台心得卡片100%來自小紅書,與實際資料組成(Threads約57%)不符。實測27,051則Threads+717則Google後確認:回推品項沒問題,真正門檻是內容品質——即使要求內容同時出現品牌與商品專屬名稱也只剩238則,其中大量是代購貼文、蝦皮導購、品牌行銷稿,以及講別家商品只把本商品當對照組的(M.A.C妝前唇霜的候選其實在評heme;YSL情挑誘光嫩唇凍別稱取通用類別詞「水光唇釉」,撈到的全是heme與1028)。評分端有LLM的product_match擋著,心得卡片沒有,故改為要求標記背書","心得卡片164→168個品項(補上Bobbi Brown高保濕化妝水、柔霧雲朵唇霜、MUFE超能量冰沙翹唇萃、YSL奢華印記鎖吻霧唇釉);分數/reviewSummary/既有卡片零變動。長期效益在累積:之後每輪--compute會自動存下該品項最多30則評論的標記(不額外花成本),涵蓋範圍變大後卡片才會實質變多",待觀察,已上線,620f1ec,
2026-09-15,新增文章(活動快訊),"新增本週第1篇「2026北部百貨週年慶怎麼買最划算？檔期時間與美妝購物攻略完整整理」(dept-store-anniversary-beauty-north-2026)，是09-02母文承諾的各區美妝組合詳細版之北部版；含北部11家檔期與美妝優惠進度表、台北101電子抵用券排除香奈兒化妝品與DIOR的地雷、微風香氛保養滿3,000贈3,000點、品牌限定組與百貨滿額禮的兩層疊加邏輯、以站上真實評分決定該囤什麼；封面圖新生成，母文與本篇互相內鏈",articles.json(新增1篇+母文內鏈)、assets/articles/dept-store-anniversary-beauty-north-2026.webp、script.js(articles.json?v=60→61)、文章/20260915/草稿,使用者要求逐家查證各百貨是否有主打的美妝品牌優惠組合；實查後發現北部11家只有台北101與微風公布美妝優惠，其餘全部未公布，故切角改為「現在該出手還是再等」的判斷指南，而非原構想的必買清單,承接母文的週年慶搜尋流量並補上母文沒有的美妝決策資訊；建立活動快訊分類的第二篇常駐內容,待觀察,已上線,0b90393,
2026-09-15,內容更正(時效性維護),母文(department-store-anniversary-sale-guide)日期查證更正：微風廣場/南京 9/11～9/29→9/17～10/4(微風官網分館頁明列「2026/09/17(四)至10/04(日)」，預購欄由「即將公布」改為註明無VIP預購場、9/3～9/16為25週年首波)；中友百貨原寫「預購9/10～10/7、加碼檔期10/8～10/28」改為「官網目前僅公布中友購物節9/10～10/7、週年慶檔期即將公布」(中友週年慶多落在春季母親節檔)；台北101與微風的檔期加註「官網公告」；前言改寫為明確區分官方公告版本與媒體整理版本；資料更新日期9/14→9/15,articles.json(department-store-anniversary-sale-guide),9/14那輪只補「即將公布」的空格，微風那格自9/2初版就有數字(來源@cosme)未再查證，還被寫進前言當成已開打的例子。9/15逐一點過官網與線上DM後發現：新光三越(信義/南西/台中中港)、SOGO忠孝館、統一時代台北都尚未公告任何週年慶檔期，DM架上仍是秋季購物節/秋時尚；只有台北101與微風是官方版本,避免讀者依錯誤日期(9/11)白跑一趟；把「哪些是官方公告、哪些是媒體整理」講清楚，降低整篇因單一來源出錯而全錯的風險,待觀察,已上線,0b90393,
2026-09-16,新增文章(推薦/比較類),新增本週第2篇「去角質產品怎麼選？3款專櫃去角質霜評價與使用感比較」(exfoliation-scrub-review-2026)，來源是7/31既有草稿。這次改寫：標題改掉舊的「N款專櫃…真實網友評價」公式、兩個H2改關鍵字導向寫法、全篇半形標點(45逗號+1分號)改全形、Meta改乾肌/油肌切角、新增「乾肌、油肌適合哪種去角質？4種膚質的挑選邏輯與頻率」一節(查證後才寫)、修正原草稿的去角質迷思、新生封面圖(單手持罐白底近拍，與exfoliation-beginner-guide粉色系區隔)；反向內鏈補進exfoliation-beginner-guide延伸閱讀,articles.json(新增1篇+去角質新手教學內鏈)、assets/articles/exfoliation-scrub-review-2026.webp、script.js(v61→62)、sitemap.xml(394→395)、文章/20260916/草稿,"原草稿只有2,448字且標題套用已停用的公式；另查證發現草稿有兩處寫「去角質後吸收力比較好」，與皮膚科醫師說法相反(去角質後角質層變薄、防禦力下降)，屬於內容正確性問題必須修正。膚質分眾是使用者指定要補、且要求先查證過才能寫",補上乾肌/油肌這個搜尋量較大的切角並與Meta對齊；修掉會誤導讀者的保養迷思；與去角質新手教學形成雙向內鏈的內容群組,待觀察,已上線,6a83bba,
2026-09-17,文章優化(標題/結構/內容/封面圖),"foundation-skintype-guide-2026 整篇優化：H1改為「粉底液推薦怎麼選？3款專櫃粉底液控油、持妝與妝感評價」(原為「粉底液推薦：乾肌、油肌、混合肌適合哪一款？3款專櫃粉底液真實網友評價」)；四個H2改寫(三個膚質段落補上「粉底液推薦」、第四段改問句式「除了以上3款，還有哪些專櫃粉底液推薦值得買？」)；前言由使用者重寫(從「我爬社群」敘述改成直接點出膚質判斷錯、買錯底妝)；文末新增兩段總結(分膚質挑選原則＋試色與觀察建議)；外連原本同一個ETtoday網址重複兩次，移除FAQ那條、改在油肌段新增ETtoday訪彩妝師談乾肌/油肌選粉底的報導(該篇同時提到Double Wear與DIOR柔光，與本文兩款相符)；封面圖重生(原圖四瓶外型幾乎相同，改成三種不同包裝置於化妝台場景，桌面不放膏體)。正文字數2,227→2,611。FAQ依使用者指示維持原樣",articles.json(單篇)、assets/articles/foundation-skintype-guide-2026.webp、script.js(v62→63),"2026-09-17以GSC實查選定：這篇28天22點擊/1,031曝光(佔全站曝光約32%)，但平均排名19.28卡第二頁，是站上唯一量體足以驗收改動的頁面。同日驗收9/1標題實驗得到的教訓是——曝光量太小的頁面做CTR實驗無法驗收，因此這輪改選高曝光頁面。問題屬性是排名(第19名)而非CTR，故以標題關鍵字對齊、H2結構化、內容補完(前言與結尾)為主",平均排名19.28→15以內(進第一頁末段)；CTR維持2.1%以上不因改標題下滑；點擊數28天22→30以上。驗收方式：下次GSC匯出時以同樣28天口徑比對，回填本欄,待觀察,已上線,40a7e5e,
2026-09-18,新增文章(推薦/比較類),新增「專櫃蜜粉哪款好用？11款產品粉質、控油力與柔焦妝感評比」(setting-powder-review-2026)，本週第3篇。用站上11款蜜粉評分做橫向比較：比較表依站上推薦文慣例不放分數數字、改質化描述並連向商品頁(9條)；分柔焦/控油持妝/保濕三個面向拆解，並標註YSL那款樣本數偏少的限制；獨有觀察是11款的取粉設計評價全部偏低，附3個自救方法；FAQ 4題取自關鍵字清單長尾字，其中瀏海出油那題補上食藥署警告(粉體無清潔效果、不能取代洗頭、長期會阻塞毛囊、嚴重可能掉髮)並外連聯合新聞網報導。標題、前言、四個H2與結語由使用者改寫；全文「散粉」統一為台灣用語「蜜粉」。封面圖為flat-lay俯拍(蜜粉罐＋藍蓋＋粉撲＋蜜粉刷)，其中刷具是用生圖API的單圖編輯端點置換，未重生整張圖。原訂9/17完稿、依使用者指示排程於9/18 10:00推送上線,articles.json、assets/articles/setting-powder-review-2026.webp、script.js(v63→64)、sitemap.xml(395→396)、文章/20260917/草稿,蜜粉題材目前GSC零曝光、關鍵字量體僅約50/月(核心字「蜜粉怎麼用」已被8/24教學文佔用)，本篇主要目的是補齊子分類覆蓋、並把9/10完成的11款評分資產變成可讀內容，不預期帶來明顯流量,蜜粉子分類開始出現曝光(目前為0)；與既有蜜粉教學文setting-powder-usage-guide-2026形成雙向內鏈，觀察教學文曝光是否因多了推薦類入口而改善,待觀察,已上線,b25e179,
2026-09-21,新增文章(活動快訊),"新增「2026台中百貨週年慶美妝攻略：三大百貨檔期、化妝品回饋與必買組合一次看」(dept-store-anniversary-beauty-central-2026)，是北部篇的中部版。三家台中主力百貨的檔期與化妝品回饋全部逐家查官網／線上DM後才寫：廣三SOGO 9/17~10/14、化妝品滿2,000送400點；台中大遠百 9/17~10/6、有獨立化妝品專刊；新光三越中港 10/1~10/14、化妝品單筆2,000贈2,000點。另整理新光三越「美麗專刊」兩本的實際內容(1,000點換專櫃體驗、神級霸容量殿堂大容量組合價)。中友百貨因官網尚未公告週年慶檔期，依使用者指示不列入。北部篇延伸閱讀補上反向內鏈",articles.json(新增1篇+北部篇與母文內鏈)、assets/articles/dept-store-anniversary-beauty-central-2026.webp、script.js(v64→65)、sitemap.xml(396→398)、文章/20260921/草稿,9/21 GSC實查發現週年慶母文7天3點擊/188曝光、是站上曝光第3高的頁面，證明週年慶題材有真實搜尋需求(與蜜粉題材零曝光形成對比)；且中部多家已開打，內容可直接寫「現在就能買什麼」，不像北部篇當時多數百貨未公布,中部相關查詢開始帶進曝光；與母文、北部篇形成週年慶內容群組(三篇互相內鏈),待觀察,已上線,13f6020,
2026-09-21,內容更正(時效性維護),母文(department-store-anniversary-sale-guide)中部三處日期更正：廣三SOGO 9/17~11/11→9/17~10/14(官網活動訊息)、新光三越台中中港 10/1~10/4首波＋加碼10/15~10/25→10/1~10/14(官網公告)、台中大遠百 9/17~10/6首波＋加碼10/7~10/18→9/17~10/6(官網線上DM)；資料更新日期9/15→9/21；文末補上中部篇連結,articles.json(department-store-anniversary-sale-guide),寫中部篇時逐家核對官網，發現母文這三列的日期來自懶人包、與官方公告不符(廣三SOGO差了近一個月)。這是繼9/17微風、中友之後第三次在同一份母文發現懶人包來源的錯誤,避免讀者依錯誤日期白跑；母文是站上曝光第3高的頁面，日期正確性直接影響可信度,待觀察,已上線,13f6020,
